airport,minName,minEle,minRunway,minICAO,minIATA,minWebsite,minOSM,LAT,LON
http://www.wikidata.org/entity/Q385191,Hurghada International Airport,15,16L/34R,HEGN,HRG,https://hurghadainternationalairport.com/,,33.799167,27.178056
http://www.wikidata.org/entity/Q8981,Aberdeen Airport,215,05/23,EGPD,ABZ,https://www.aberdeenairport.com/,,-2.197778,57.201944
http://www.wikidata.org/entity/Q8982,London City Airport,19,09/27,EGLC,LCY,https://www.londoncityairport.com/,,0.055278,51.505278
http://www.wikidata.org/entity/Q8987,George Best Belfast City Airport,5,04/22,EGAC,BHD,https://www.belfastcityairport.com/,,-5.871233,54.615486
http://www.wikidata.org/entity/Q420847,Libreville International Airport,39,16/34,FOOL,LBV,http://www.adlgabon.com,,9.412222,0.458611
http://www.wikidata.org/entity/Q421811,Shanghai Hongqiao International Airport,10,18L/36R,ZSSS,SHA,http://www.shairport.com/,,121.336389,31.198056
http://www.wikidata.org/entity/Q27217,Mogilev Airport,188,13/31,UMOO,MVQ,https://avia.of.by/index.php,,30.095,53.955
http://www.wikidata.org/entity/Q27253,Polotsk Airport,143,,http://www.wikidata.org/.well-known/genid/b15b7eaa6d4bf8de69a946a65b150568,,,,28.748333333,55.411666666
http://www.wikidata.org/entity/Q27268,Oral Ak Zhol Airport,38,4/22,UARR,URA,http://www.oralairport.kz/,,51.543055555,51.150833333
http://www.wikidata.org/entity/Q27301,Jeongseok Airport,347,,RKPD,JDG,,,126.713055555,33.398333333
http://www.wikidata.org/entity/Q27546,Gomel Airport,143,11/29,UMGG,GME,http://www.gomelavia.com/,,31.016666666,52.526944444
http://www.wikidata.org/entity/Q14295,Seattle–Tacoma International Airport,433,16C/34C,KSEA,SEA,https://www.portseattle.org/sea-tac,,-122.309444,47.448889
